fact
A cats field of vision is about 185 degrees.
Baking chocolate is the most dangerous chocolate to your cat.
There are cats who have survived falls from over 32 stories (320 meters) onto concrete.
A cat can spend five or more hours a day grooming himself.
Cat families usually play best in even numbers. Cats and kittens should be aquired in pairs whenever possible.
